year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
2008,Jan,Wed,0,Rivers,Port Harcourt,Armed Assault,Maritime,Unknown,Firearms
2019,Oct,Fri,1,Borno,Chibok,Hostage Taking (Kidnapping),Religious Figures/Institutions,Nigeria,Firearms
2015,Dec,Sat,0,Borno,Buratai,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Jan,Fri,0,Delta,Unknown,Bombing/Explosion,Utilities,Nigeria,Explosives
2020,Dec,Thu,1,Borno,Gamboru,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2015,Jan,Fri,0,Gombe,Gombe,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2017,Apr,Tue,1,Ondo,Ose district,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2014,Jan,Sun,1,Adamawa,Waga Chakawa,Hostage Taking (Kidnapping),Religious Figures/Institutions,Nigeria,Explosives
2016,Aug,Fri,0,Delta,Owhrode,Bombing/Explosion,Utilities,Nigeria,Explosives
2012,Oct,Mon,0,Edo,Benin City,Facility/Infrastructure Attack,Religious Figures/Institutions,Nigeria,Incendiary
2019,Jan,Sun,0,Taraba,Jukun,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Jun,Sun,0,Plateau,Barakin Ladi district,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2019,Mar,Sat,0,Adamawa,Gaya,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2012,Oct,Wed,0,Yobe,Potiskum,Facility/Infrastructure Attack,Educational Institution,Nigeria,Incendiary
2012,Jun,Sun,0,Borno,Konduga,Bombing/Explosion,Government (General),Nigeria,Explosives
2014,Mar,Thu,0,Borno,Agapalwa,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2018,Jan,Fri,0,Adamawa,Mubi,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2017,Jan,Tue,0,Adamawa,Kontcha,Armed Assault,Government (Diplomatic),International,Firearms
2016,Nov,Sat,0,Zamfara,Dole,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Dec,Thu,0,Imo,Umuoke,Assassination,Police,Nigeria,Firearms
2018,Jun,Tue,0,Enugu,Enugu,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2014,Oct,Tue,0,Borno,Damboa,Armed Assault,Military,Nigeria,Firearms
2012,Jul,Tue,0,Gombe,Ashaka,Bombing/Explosion,Business,Nigeria,Explosives
2018,Mar,Mon,0,Kogi,Agbenema,Assassination,Private Citizens & Property,Nigeria,Incendiary
2021,Oct,Mon,0,Borno,Damasak,Armed Assault,Military,Nigeria,Firearms
2020,Jun,Tue,1,Kaduna,Kemara Rimi,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Unknown
2014,Oct,Thu,0,Borno,Ngurosoye,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2018,Mar,Sun,0,Benue,Guma district,Unknown,Private Citizens & Property,Nigeria,Unknown
2016,Aug,Sun,0,Borno,Damboa district,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2020,Jan,Thu,0,Borno,Magumeri,Armed Assault,Military,Nigeria,Firearms
2018,May,Mon,0,Kogi,Ido-Gbede,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,May,Fri,1,Yobe,Buni Yadi,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2011,Nov,Wed,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Unknown,Explosives
2017,Jan,Fri,1,Kaduna,Kakurna,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2021,Jan,Mon,0,Ondo,Ondo,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,Oct,Sat,0,Borno,Maiduguri,Bombing/Explosion,Business,Nigeria,Explosives
2016,Jun,Fri,0,Borno,Alidawari,Bombing/Explosion,Unknown,Nigeria,Explosives
2013,Sep,Sun,0,Borno,Benisheik,Armed Assault,Private Citizens & Property,Nigeria,Melee
2013,May,Thu,0,Borno,Gwoza,Armed Assault,Religious Figures/Institutions,Nigeria,Explosives
2005,May,Thu,0,Bauchi,Nabordo,Armed Assault,Utilities,Nigeria,Firearms
2020,Nov,Thu,1,Katsina,Kankara,Hostage Taking (Kidnapping),Educational Institution,Nigeria,Firearms
2016,Apr,Mon,1,Kano,Kibiya,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2014,Dec,Thu,0,Benue,Kula,Unknown,Private Citizens & Property,Nigeria,Unknown
2019,Feb,Sat,0,Rivers,Ajakaja,Assassination,Private Citizens & Property,Nigeria,Firearms
2011,Apr,Wed,0,Borno,Maiduguri,Armed Assault,Police,Nigeria,Explosives
2017,Sep,Wed,0,Borno,Daima,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Melee
2017,Mar,Thu,0,Borno,Wumyeduga,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2008,May,Mon,0,Rivers,Awoba,Bombing/Explosion,Business,Asian,Explosives
2016,Mar,Mon,0,Borno,Mussa,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2020,Oct,Sun,0,Delta,Ibusa,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2020,Sep,Sun,0,Benue,Tse-Apera,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2007,Mar,Mon,0,Rivers,Unknown,Armed Assault,Military,Nigeria,Firearms
2014,Jul,Sat,0,Borno,Gaidamgari,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2018,Jul,Fri,0,Borno,Bunari,Armed Assault,Military,Nigeria,Firearms
2021,Sep,Sun,0,Akwa Ibom,Ikot Odon,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2014,Aug,Mon,0,Borno,Dikwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Oct,Wed,0,Borno,Gamboru,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2011,Jan,Wed,0,Borno,Maiduguri,Armed Assault,Police,Nigeria,Firearms
2007,Feb,Fri,0,Rivers,Unknown,Hostage Taking (Kidnapping),Business,Italy,Firearms
2018,Dec,Fri,1,Borno,Gudunbali,Armed Assault,Military,Nigeria,Firearms
2021,Oct,Fri,0,Osun,Ikire,Assassination,Government (General),Nigeria,Firearms
2015,Feb,Tue,0,Abuja,Abuja,Bombing/Explosion,Transportation,Nigeria,Explosives
2021,Dec,Thu,0,Borno,Gur,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2019,Aug,Sun,1,Enugu,Ituku,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2006,Apr,Mon,0,Akwa Ibom,Eket,Armed Assault,Business,Multinational,Firearms
2018,Jun,Sun,0,Plateau,Rakok,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Mar,Thu,0,Plateau,Kwal,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Firearms
2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2013,Jul,Mon,0,Bauchi,Darazo,Armed Assault,Police,Nigeria,Firearms
2007,Sep,Wed,0,Delta,Escravos,Hostage Taking (Kidnapping),Business,United States,Firearms
2021,Jun,Fri,0,Imo,Ehime-Mbano district,Armed Assault,Police,Nigeria,Firearms
2012,Apr,Thu,0,Kano,Kano,Bombing/Explosion,Transportation,Nigeria,Explosives
2019,Dec,Tue,0,Plateau,Hukke,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Jun,Mon,0,Plateau,Mavo,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Apr,Mon,0,Borno,Gwoza district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Aug,Thu,0,Edo,Akoko-Edo district,Armed Assault,Government (General),Nigeria,Firearms
2011,Oct,Sat,0,Plateau,Jos district,Armed Assault,Private Citizens & Property,Nigeria,Melee
2010,Oct,Tue,0,Plateau,Jos district,Unknown,Private Citizens & Property,Nigeria,Unknown
2021,Feb,Wed,1,Osun,Ajebamidele,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2020,Jul,Sat,0,Borno,Wemdio,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Apr,Sun,1,Kaduna,Manini,Hostage Taking (Kidnapping),Religious Figures/Institutions,Nigeria,Firearms
2018,Nov,Sun,0,Nasarawa,Udela,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2009,Jun,Sun,0,Rivers,Unknown,Bombing/Explosion,Business,Netherlands,Explosives
2016,Jun,Thu,0,Ogun,Elepete,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Jul,Mon,0,Abuja,Abuja,Hostage Taking (Barricade Incident),Violent Political Party,Nigeria,Firearms
2012,Sep,Sat,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Jan,Thu,0,Benue,Uvir,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Feb,Mon,0,Borno,Mainari,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1997,Nov,Mon,1,Unknown,Unknown,Hostage Taking (Kidnapping),Business,France,Unknown
2008,Dec,Tue,0,Delta,Oginbo,Hostage Taking (Kidnapping),Educational Institution,Nigeria,Unknown
2016,Mar,Sun,0,Benue,Chenbe,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Mar,Thu,1,Taraba,Kando,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2015,Nov,Sat,0,Borno,Maiduguri,Bombing/Explosion,Transportation,Nigeria,Explosives
2013,Aug,Fri,1,Borno,Monguno,Armed Assault,Terrorists/Non-State Militia,Nigeria,Firearms
2021,Apr,Fri,0,Benue,Tse Tugh,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Wed,0,Rivers,Obrikom,Assassination,Private Citizens & Property,Nigeria,Firearms
2015,Feb,Thu,0,Bayelsa,Odi,Assassination,Private Citizens & Property,Nigeria,Firearms
2016,Feb,Sat,0,Bayelsa,Unknown,Bombing/Explosion,Utilities,Nigeria,Explosives
2014,Mar,Mon,1,Plateau,Lwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Dec,Wed,0,Borno,Mushemiri,Bombing/Explosion,Military,Nigeria,Explosives
2011,Mar,Thu,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Jun,Sat,0,Oyo,Maya,Hostage Taking (Kidnapping),Religious Figures/Institutions,Nigeria,Firearms
2014,Jul,Sat,0,Borno,Damboa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Jan,Wed,0,Taraba,Takum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Jan,Wed,0,Borno,Biu,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2021,Apr,Thu,0,Nasarawa,Gindan Rai,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Oct,Sat,0,Borno,Jos,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2015,Jan,Tue,0,Zamfara,Unknown,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2009,May,Wed,1,Edo,Benin City,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2019,Feb,Sat,0,Borno,Gajibo,Unknown,Military,Nigeria,Unknown
2013,Jan,Tue,0,Kano,Dakata,Armed Assault,Transportation,Nigeria,Firearms
2015,Aug,Tue,0,Yobe,Damaturu,Bombing/Explosion,Transportation,Nigeria,Explosives
2017,Jul,Tue,0,Borno,Maiduguri,Bombing/Explosion,Terrorists/Non-State Militia,Nigeria,Explosives
2018,May,Thu,0,Benue,Mgbakpa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Mar,Sun,1,Akwa Ibom,Eket,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2019,Aug,Thu,0,Borno,Balumri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Feb,Mon,0,Adamawa,Kubi,Unknown,Private Citizens & Property,Nigeria,Unknown
2021,Mar,Wed,0,Delta,Abraka,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Nov,Sat,0,Kaduna,Kigudu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Jan,Fri,0,Benue,Mgbekpa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Sep,Sat,0,Cross River,Bakassi district,Facility/Infrastructure Attack,Military,Nigeria,Incendiary
2014,Jun,Sun,0,Kaduna,Tarbi,Unknown,Private Citizens & Property,Nigeria,Unknown
2021,Apr,Tue,0,Akwa Ibom,Ika district,Unknown,Police,Nigeria,Unknown
2021,Sep,Sun,1,Anambra,Urum,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2021,May,Sun,1,Benue,Nduobasi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Feb,Thu,0,Niger,Minna,Bombing/Explosion,Police,Nigeria,Explosives
2013,Feb,Sat,0,Yobe,Ngalda,Armed Assault,Business,Nigeria,Firearms
2012,Feb,Sun,0,Borno,Gamboru Ngala,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2014,Jul,Mon,0,Kano,Kano,Bombing/Explosion,Business,Nigeria,Explosives
2016,Jan,Wed,0,Borno,Buratai,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jan,Tue,0,Yobe,Damaturu,Armed Assault,Police,Nigeria,Firearms
2006,Mar,Sun,0,Cross River,Okono,Hostage Taking (Barricade Incident),Maritime,Italy,Unknown
2014,Oct,Mon,0,Nasarawa,Lafia,Hostage Taking (Kidnapping),Violent Political Party,Nigeria,Unknown
2018,Jun,Wed,0,Adamawa,Michika district,Unknown,Private Citizens & Property,Nigeria,Unknown
2006,Oct,Tue,0,Unknown,Unknown,Hostage Taking (Kidnapping),Military,Nigeria,Firearms
2021,Sep,Wed,0,Kogi,Idah,Armed Assault,Business,Nigeria,Firearms
2011,Jun,Thu,0,Borno,Maiduguri,Bombing/Explosion,Government (General),Nigeria,Explosives
2020,Jul,Sat,1,Borno,Pemi,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Unknown
2014,Apr,Sun,0,Borno,Kaigamari,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1988,Jan,Sat,0,Lagos,Lagos,Assassination,Government (Diplomatic),Libya,Firearms
2014,Jul,Thu,0,Borno,Karbutu,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2016,Jul,Thu,0,Borno,Gaskeri,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Unknown
2015,Mar,Sun,0,Borno,Konduga district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Jul,Tue,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Nigeria,Explosives
2017,Nov,Thu,0,Adamawa,Dowaya,Armed Assault,Police,Nigeria,Firearms
2020,Jan,Sat,0,Benue,Makurdi,Assassination,Government (General),Nigeria,Firearms
2020,Feb,Wed,1,Borno,Bambula,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Nigeria,Firearms
2017,Apr,Sun,0,Ondo,Ajakpa,Armed Assault,Military,Multinational,Firearms
2020,Apr,Thu,0,Borno,Ngamdu,Armed Assault,Military,Nigeria,Explosives
2014,Dec,Wed,1,Bayelsa,Nembe district,Hostage Taking (Kidnapping),Maritime,Nigeria,Firearms
2012,Nov,Thu,0,Rivers,Port Harcourt,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2016,Jul,Sat,0,Benue,Tom Ataan,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Nov,Tue,0,Abuja,Abuja,Assassination,Government (General),Nigeria,Firearms
2014,Mar,Thu,0,Borno,Ngoshe,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2014,May,Wed,0,Borno,Arbokko,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Mon,0,Bauchi,Tafawa-Balewa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jul,Sun,0,Lagos,Egbeda,Assassination,Police,Nigeria,Firearms
2019,Jan,Thu,0,Adamawa,Muchalla,Assassination,Violent Political Party,Nigeria,Firearms
2013,Feb,Sat,1,Borno,Maiduguri,Hostage Taking (Kidnapping),Educational Institution,Nigeria,Firearms
2016,Dec,Mon,0,Borno,Maiduguri,Bombing/Explosion,Government (General),Nigeria,Explosives
2014,Feb,Sat,0,Borno,Doron Baga,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Jul,Mon,0,Borno,Kaleri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Nov,Mon,0,Borno,Monguno,Hostage Taking (Kidnapping),Transportation,Nigeria,Melee
2021,Apr,Sat,0,Imo,Omuma,Unknown,Other,Nigeria,Unknown
2016,Jun,Thu,0,Lagos,Ikorodu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Thu,0,Plateau,Zakupang,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Sep,Mon,0,Adamawa,Gubla,Assassination,Private Citizens & Property,Nigeria,Firearms
2017,Sep,Fri,1,Bayelsa,Southern Ijaw district,Armed Assault,Maritime,Nigeria,Firearms
2017,Feb,Wed,0,Borno,Gwoza,Armed Assault,Military,Nigeria,Firearms
2019,Feb,Fri,0,Rivers,Botem,Armed Assault,Police,Nigeria,Firearms
2019,Aug,Wed,0,Plateau,Foron,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,May,Wed,0,Adamawa,Kolere,Facility/Infrastructure Attack,Telecommunication,Nigeria,Incendiary
2012,Jul,Tue,0,Gombe,Ashaka,Bombing/Explosion,Police,Nigeria,Explosives
2017,Jul,Mon,0,Rivers,Ogoniland,Bombing/Explosion,Utilities,Nigeria,Explosives
2013,Dec,Mon,0,Borno,Damboa,Assassination,Government (General),Nigeria,Firearms
2015,Jan,Mon,0,Borno,Maiduguri,Bombing/Explosion,Business,Nigeria,Explosives
2013,Mar,Sat,0,Borno,Gwoza,Armed Assault,Police,Nigeria,Explosives
2017,Jul,Fri,0,Delta,Okpanam,Assassination,Private Citizens & Property,Nigeria,Firearms
2020,Jul,Thu,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Aug,Mon,0,Jigawa,Keffin Hausa,Unknown,Private Citizens & Property,Nigeria,Unknown
2016,Apr,Fri,0,Borno,Toshia,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2014,Jun,Sat,0,Borno,Krenuwa,Armed Assault,Police,Nigeria,Firearms
2018,May,Tue,0,Nasarawa,Nyashashu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Dec,Thu,0,Plateau,Kassa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Oct,Sat,0,Delta,Isoko North district,Bombing/Explosion,Utilities,Nigeria,Explosives
2013,Oct,Sun,0,Borno,Pulka,Unknown,Private Citizens & Property,Nigeria,Unknown
2011,Oct,Wed,0,Plateau,Jos,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2015,Jul,Tue,0,Plateau,Sho,Armed Assault,Police,Nigeria,Firearms
2016,Jun,Tue,0,Benue,Anyiin,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jul,Mon,0,Sokoto,Sokoto,Bombing/Explosion,Police,Nigeria,Explosives
2019,Apr,Fri,1,Borno,Mararrabar Kimba,Armed Assault,Military,Nigeria,Firearms
2019,Feb,Sat,0,Borno,Gwoza,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2018,Jun,Wed,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2015,Apr,Sat,0,Borno,Ashir,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2020,Sep,Tue,1,Borno,Jakana,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2020,Aug,Tue,0,Borno,Pulka,Bombing/Explosion,Military,Nigeria,Explosives
2019,Jan,Mon,0,Bayelsa,Yenegoa district,Armed Assault,Police,Nigeria,Firearms
2018,Jan,Thu,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2021,May,Sat,0,Nasarawa,Amudu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Sep,Tue,0,Zamfara,Doka,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2015,Jan,Sun,0,Benue,Logo district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Apr,Tue,1,Borno,Gajiram,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2017,Mar,Thu,0,Benue,Ayati,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Apr,Wed,0,Benue,Agasha,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,May,Wed,1,Kaduna,Magunguna,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,May,Mon,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Nigeria,Explosives
2012,Mar,Tue,0,Kano,Tudun Wada,Armed Assault,Police,Nigeria,Firearms
2019,May,Mon,1,Zamfara,Kanoma,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,Sep,Tue,0,Delta,Shalomi Creek,Bombing/Explosion,Utilities,Nigeria,Explosives
2014,Mar,Tue,0,Yobe,Potiskum,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2012,Jun,Sat,0,Plateau,Riyom,Bombing/Explosion,Transportation,Nigeria,Explosives
2016,Apr,Tue,0,Delta,Escravos,Bombing/Explosion,Utilities,Nigeria,Explosives
2021,Dec,Sat,0,Ebonyi,Obodo Ocha,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Jan,Sun,0,Borno,Maiduguri,Bombing/Explosion,Government (General),Nigeria,Explosives
2018,Apr,Fri,0,Taraba,Lainde Jessi,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2020,Feb,Sat,0,Delta,Ohoror,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Sun,0,Osun,Osogbo,Assassination,Violent Political Party,Nigeria,Firearms
2018,Jul,Wed,0,Nasarawa,Jimin Nyaku,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Apr,Sun,0,Borno,Dikwa,Armed Assault,Military,Nigeria,Firearms
2012,Dec,Fri,0,Zamfara,Rukudawa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,May,Sat,0,Benue,Tse-Shishim,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2000,Jul,Tue,0,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Private Citizens & Property,Great Britain,Firearms
2014,Nov,Mon,0,Bayelsa,Akepelai,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2013,Feb,Wed,0,Taraba,Tella,Hostage Taking (Kidnapping),Business,Lebanon,Firearms
2014,May,Tue,1,Borno,Chibok,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2018,Jan,Wed,0,Taraba,Gishiri,Unknown,Private Citizens & Property,Nigeria,Unknown
2017,Sep,Sat,0,Borno,Sassawa,Unknown,Military,Nigeria,Unknown
2018,Mar,Wed,1,Kogi,Omayege,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Jun,Sun,0,Imo,Owerri,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2021,Jun,Mon,0,Zamfara,Birnin-Tudu,Armed Assault,Business,China,Firearms
2012,Oct,Sun,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2018,Dec,Wed,0,Anambra,Onitsha,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2012,Jun,Fri,0,Adamawa,Yola,Armed Assault,Business,Nigeria,Firearms
2012,Mar,Fri,0,Borno,Askira,Bombing/Explosion,Police,Nigeria,Explosives
2014,Nov,Mon,0,Katsina,Rimi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Apr,Wed,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Nigeria,Explosives
2012,Jan,Sun,0,Gombe,Gombe,Bombing/Explosion,Police,Nigeria,Explosives
2012,May,Wed,0,Borno,Maiduguri,Facility/Infrastructure Attack,Telecommunication,Nigeria,Incendiary
2013,Apr,Thu,0,Kwara,Ilorin,Assassination,Private Citizens & Property,Nigeria,Firearms
2020,Dec,Sat,1,Kaduna,Rogo,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Nov,Wed,0,Borno,Rann,Facility/Infrastructure Attack,Government (General),Nigeria,Unknown
2016,Jun,Mon,0,Ogun,Ibafo,Assassination,Government (General),Nigeria,Firearms
2018,Jun,Sun,0,Plateau,Razat,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Dec,Mon,0,Adamawa,Mubi,Armed Assault,Military,Nigeria,Firearms
2014,May,Thu,1,Bayelsa,Agrisaba,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2021,May,Tue,0,Ebonyi,Ebonyi district,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
2018,Jun,Wed,1,Benue,Tse Shan,Armed Assault,Educational Institution,Nigeria,Firearms
2017,Feb,Sat,0,Borno,Dusuman,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2021,Sep,Sun,0,Akwa Ibom,Ukana Ikot Ntuen,Armed Assault,Police,Nigeria,Firearms
2018,May,Thu,0,Borno,Gawa,Unknown,Private Citizens & Property,Nigeria,Unknown
2010,Nov,Sun,0,Akwa Ibom,Unknown,Hostage Taking (Kidnapping),Business,United States,Explosives
2015,Oct,Tue,1,Borno,Buraltuma,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Apr,Tue,1,Taraba,Wukari district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Aug,Sat,0,Akwa Ibom,Ibesikpo Asutan district,Bombing/Explosion,Government (General),Nigeria,Explosives
2017,Jan,Mon,1,Kogi,Bagana,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Explosives
2011,Dec,Mon,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jan,Sun,0,Gombe,Gombe,Armed Assault,Police,Nigeria,Explosives
2012,Jan,Fri,0,Kano,Hotoro,Bombing/Explosion,Business,Nigeria,Explosives
2015,Jul,Thu,0,Delta,Ughelli North district,Bombing/Explosion,Utilities,Nigeria,Explosives
2020,Apr,Wed,0,Delta,Issele-Azagba,Armed Assault,Business,Nigeria,Firearms
2018,Apr,Sun,0,Adamawa,Mbang,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2013,Mar,Sat,0,Kano,Kano,Bombing/Explosion,Military,Nigeria,Explosives
2020,Sep,Tue,1,Plateau,Jing,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2018,May,Thu,0,Plateau,Gyero,Unknown,Private Citizens & Property,Nigeria,Unknown
2021,Oct,Sat,0,Taraba,Chanchanji,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Mar,Tue,0,Plateau,Jos,Bombing/Explosion,Educational Institution,Nigeria,Explosives
1994,Sep,Mon,0,Lagos,Lagos,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
2014,Nov,Sun,0,Bauchi,Azare,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2017,Oct,Wed,0,Borno,Gwoza,Armed Assault,Military,Nigeria,Firearms
2019,Jan,Sun,0,Yobe,Buni Yadi,Armed Assault,Military,Nigeria,Firearms
2012,Jun,Sun,0,Kaduna,Zaria,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
