year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
2018,Jun,Thu,0,Ebonyi,Abakaliki,Bombing/Explosion,Violent Political Party,Nigeria,Explosives
2014,Jun,Fri,0,Bauchi,Bauchi,Bombing/Explosion,Business,Nigeria,Explosives
2016,Aug,Thu,0,Enugu,Atakwu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,May,Sat,0,Taraba,Dananaca,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2020,Mar,Sun,0,Benue,Div-Nzaav,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2013,Dec,Tue,0,Plateau,Barakin Ladi,Armed Assault,Terrorists/Non-State Militia,Nigeria,Firearms
2019,May,Sun,0,Plateau,Jos,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Mon,0,Delta,Ethiope East district,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
2012,Sep,Sat,0,Borno,Gajiganna,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2021,Oct,Mon,0,Borno,Damasak,Facility/Infrastructure Attack,Business,Nigeria,Firearms
2019,Oct,Sat,0,Borno,Gwandam,Unknown,Private Citizens & Property,Nigeria,Unknown
2019,Aug,Wed,0,Benue,Oturkpo district,Hijacking,Religious Figures/Institutions,Nigeria,Firearms
2017,Sep,Fri,0,Niger,Yakpa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2009,Jul,Mon,0,Borno,Maiduguri,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
2008,Apr,Tue,1,Rivers,Ogbogwu,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2020,May,Wed,1,Kaduna,Ungwan Masaba,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Jan,Wed,0,Kogi,Oganenigu,Assassination,Private Citizens & Property,Nigeria,Firearms
2015,Aug,Thu,0,Yobe,Kukuwa-Gari,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Nov,Fri,0,Borno,Kareto,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2019,Mar,Mon,0,Adamawa,Kopa,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2015,Mar,Sat,0,Borno,Mussa,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
